dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
68,10,3,probabilistic_ftr,10000,17,0.0017,1,72.94413645,0
70,3,1,pastcpa,10000,0,0,1,101.659353,0
70,3,1,ftr,10000,696,0.0696,1,51.86251602,0
70,3,1,probabilistic_ftr,10000,0,0,1,64.97962232,0
70,3,3,pastcpa,10000,6,0.0006,1,97.61676097,0
70,3,3,ftr,10000,2387,0.2387,1,51.44633531,0
70,3,3,probabilistic_ftr,10000,33,0.0033,1,70.0544336,0
70,10,1,pastcpa,10000,0,0,1,103.0330052,0
70,10,1,ftr,10000,422,0.0422,1,54.43733328,0
70,10,1,probabilistic_ftr,10000,1,0.0001,1,68.00227257,0
70,10,3,pastcpa,10000,12,0.0012,1,99.46497687,0
70,10,3,ftr,10000,1819,0.1819,1,53.26445041,0
70,10,3,probabilistic_ftr,10000,21,0.0021,1,73.19138716,0
72,3,1,pastcpa,10000,0,0,1,101.099238,0
72,3,1,ftr,10000,698,0.0698,1,51.86234196,0
72,3,1,probabilistic_ftr,10000,0,0,1,64.82382733,0
72,3,3,pastcpa,10000,7,0.0007,1,97.97891377,0
72,3,3,ftr,10000,2292,0.2292,1,51.50695393,0
