nohup: ignoring input
[170/1080] dpsi=30.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1034 (1034/10000)
[171/1080] dpsi=30.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[172/1080] dpsi=30.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0039 (39/10000)
[173/1080] dpsi=30.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3216 (3216/10000)
[174/1080] dpsi=30.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0025 (25/10000)
[175/1080] dpsi=30.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0001 (1/10000)
[176/1080] dpsi=30.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0789 (789/10000)
[177/1080] dpsi=30.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[178/1080] dpsi=30.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0036 (36/10000)
[179/1080] dpsi=30.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.2398 (2398/10000)
[180/1080] dpsi=30.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0018 (18/10000)
[181/1080] dpsi=32.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0001 (1/10000)
[182/1080] dpsi=32.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.094 (940/10000)
[183/1080] dpsi=32.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[184/1080] dpsi=32.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0038 (38/10000)
[185/1080] dpsi=32.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3196 (3196/10000)
[186/1080] dpsi=32.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0028 (28/10000)
[187/1080] dpsi=32.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[188/1080] dpsi=32.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0728 (728/10000)
[189/1080] dpsi=32.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[190/1080] dpsi=32.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0029 (29/10000)
[191/1080] dpsi=32.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.2419 (2419/10000)
